Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Semolina (सूजी / रवा),Grains,360,13,73,1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Processed wheat. Can be heavy. Quick to cook.
Puffed Rice (मुरमुरा),Grains,402,6,90,0.5,Sweet (मधुर),Cooling (शीत),"Very Light, Dry (अति लघु, रूक्ष)",Sweet (मधुर),"Balances K, P. Significantly increases V.",Extremely light and dry. Must be consumed with fat (oil/ghee) for Vata.
Flattened Rice (पोहा),Grains,346,6.6,77.3,1.2,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Very easy to digest. A popular breakfast food.
Broken Wheat (दलिया),Grains,342,12,76,2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.",Lighter than whole wheat roti. Good for convalescence.
Sago (साबूदाना),Starch,358,0.2,88.7,0.2,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Pure starch, provides quick energy but can be heavy."
Water Chestnut Flour (सिंघाड़ा आटा),Flours,115,2,26.6,0.1,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V, P. Increases K.","Cooling, strengthening, and nourishing. Used during fasting."
Arrowroot (अरारोट),Starch,65,4.2,13.4,0.2,Sweet (मधुर),Cooling (शीत),Very Light (अति लघु),Sweet (मधुर),Excellent for P. Balances K. Can increase V.,"Extremely easy to digest, soothes the stomach. Used as a thickener."
Chickpea Flour (बेसन),Flours,387,22,58,7,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Very drying. Used in batters. Avoid for Vata imbalance.
Rice Flour (चावल का आटा),Flours,366,6,80,1.4,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances P. Can increase V, K.",Gluten-free. Can be harder to digest than whole rice.
Maize Flour (मक्की का आटा),Flours,362,9,77,4,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances P, K. Increases V.",Gluten-free. Famously used for *Makki di Roti*.
Moong Dal (मूंग दाल),Lentils,347,24,63,1.2,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Best for all doshas (Tridoshic).,Easiest lentil to digest. Excellent for recovery.
Toor Dal (अरहर दाल),Lentils,343,22,63,1.5,"Astringent, Sweet",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.",Best cooked with ghee to balance Vata.
Masoor Dal (मसूर दाल),Lentils,353,26,60,1,"Sweet, Astringent",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.",Nourishing for the blood.
Urad Dal (उड़द दाल),Lentils,341,25,59,1.6,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Very strengthening but heavy to digest.
Chana Dal (चना दाल),Lentils,378,20.8,61.2,5.6,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Can cause gas. Soak well and use spices like hing.
Chickpeas (काबुली चना),Legumes,364,19,61,6,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Can cause gas/bloating; soak well.
Kala Chana (काला चना),Legumes,378,20,63,6,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",More fiber and harder to digest than white chickpeas.
Kidney Beans (राजमा),Legumes,333,24,60,0.8,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.",Heavy to digest. Needs proper soaking and cooking.
Black-eyed Peas (लोबिया),Legumes,336,23.5,60,1.3,"Sweet, Astringent",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.",Lighter than other beans.
Soya Bean (सोयाबीन),Legumes,446,36,30,20,"Sweet, Astringent",Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase K, P.",Heavy to digest; best in fermented forms.
Green Peas (हरी मटर),Legumes,81,5,14,0.4,"Sweet, Astringent",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Can increase V. Balances P, K.",Fresh peas are easier to digest than dried.
Horse Gram (कुलथी),Legumes,321,22,57,0.5,Astringent,Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),Excellent for K. Balances V. Increases P.,Used traditionally for kidney stones and weight loss.
Moth Beans (मोठ),Legumes,343,23,62,1.6,Sweet,Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Common in arid regions. Lighter than many beans.
Split Black Gram (छिलका उड़द),Lentils,347,24,60,1.4,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","With skin, it has more fiber and is harder to digest than washed dal."
Split Green Gram (छिलका मूंग),Lentils,352,25,60,1.3,"Astringent, Sweet",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Best for all doshas (Tridoshic).,Lighter than whole moong but heavier than washed yellow moong dal.
Whole Lentil (साबुत मसूर),Lentils,340,24,63,1,"Sweet, Astringent",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Heavier and requires more cooking time than split masoor dal.
Whole Green Gram (साबुत मूंग),Legumes,347,24,63,1.2,"Astringent, Sweet",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Tridoshic, but heavier than split dal.","When sprouted, it becomes lighter and easier to digest."
Whole Black Gram (साबुत उड़द),Legumes,341,25,59,1.6,Sweet (मधुर),Heating (उष्ण),"Very Heavy, Unctuous (अति गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V. Increases P, K.",Foundation of Dal Makhani. Requires long soaking and cooking.
White Peas (सफेद मटर),Legumes,341,25,60,1.2,"Sweet, Astringent",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Dried version of green peas. Used in street food like Ragda.
Peanuts (मूंगफली),Legumes,567,26,16,49,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Significantly increases P, K.",Botanically a legume. Can be allergenic and heavy.
Potato (आलू),Vegetables,77,2,17,0.1,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.",Grounding but can be heavy. Best when spiced.
Sweet Potato (शकरकंद),Vegetables,86,1.6,20,0.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase P, K.",Easier to digest than potato. Very nourishing.
Onion (प्याज),Vegetables,40,1.1,9.3,0.1,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),"Heavy, Sharp (गुरु, तीक्ष्ण)",Sweet (मधुर),"Balances V, K. Increases P.",Cooked onions are easier to digest.
Garlic (लहसुन),Vegetables,149,6.4,33,0.5,Pungent (कटु),Heating (उष्ण),"Heavy, Oily, Sharp (गुरु, स्निग्ध, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.",Powerful digestive and detoxifier.
Carrot (गाजर),Vegetables,41,0.9,10,0.2,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Sweet (मधुर),"Balances V, K. Can increase P if excess.",Good for eyes and blood.
Beetroot (चुकंदर),Vegetables,43,1.6,10,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.",Excellent blood builder.
Cabbage (पत्ता गोभी),Vegetables,25,1.3,6,0.1,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.","Can cause gas, cook well with spices."
Cauliflower (फूल गोभी),Vegetables,25,1.9,5,0.3,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.","Can cause gas, easier to digest when cooked."
Bottle Gourd (लौकी),Vegetables,14,0.6,3.4,0.02,Sweet (मधुर),Cooling (शीत),"Light, Moist (लघु, स्निग्ध)",Sweet (मधुर),"Excellent for P. Balances V, K.","Very easy to digest, cooling, good for urinary health."
Ridge Gourd (तुरई),Vegetables,17,0.5,3.4,0.1,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Light and easy to digest.
Bitter Gourd (करेला),Vegetables,17,1,3.7,0.2,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Excellent for K, P. Increases V.",Best for blood sugar control and detoxification.
Pointed Gourd (परवल),Vegetables,20,2,2.2,0.3,Sweet (मधुर),Cooling (शीत),"Light, Unctuous (लघु, स्निग्ध)",Sweet (मधुर),Balances all doshas (Tridoshic).,"One of the most balanced vegetables, good during illness."
Snake Gourd (चिचिंडा),Vegetables,18,0.5,3,0.3,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Easy to digest, good for fever."
Ash Gourd (पेठा),Vegetables,13,0.4,3,0.2,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V, P. Can increase K.","Calms the nerves, very cooling. Used to make sweets."
Okra (भिंडी),Vegetables,33,1.9,7,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.",Slimy quality is good for Vata.
Brinjal (बैंगन),Vegetables,25,1,6,0.2,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Can increase P.",Can be drying. Cook with oil.
Capsicum (शिमला मिर्च),Vegetables,20,0.9,4.6,0.2,Pungent (कटु),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Increases P.",Can be hard to digest for some.
Radish (मूली),Vegetables,16,0.7,3.4,0.1,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),Balances all doshas (Tridoshic).,Excellent for liver and digestion.
Pumpkin (कद्दू),Vegetables,26,1,7,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Easy to digest, grounding."
Drumstick (सहजन),Vegetables,37,2.1,8.5,0.2,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Light, Dry, Sharp (लघु, रूक्ष, तीक्ष्ण)",Pungent (कटु),"Excellent for K, V. Can increase P.","Highly nutritious, good for joints and purification."
Raw Jackfruit (कटहल),Vegetables,95,1.7,23,0.6,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Can increase V, K. Balances P.",Heavy to digest. Cook with strong spices.
Taro Root (अरबी),Vegetables,112,1.5,26,0.2,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Can be slimy. Cook well to avoid throat irritation.
Yam (जिमीकंद),Vegetables,118,1.5,28,0.2,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Excellent for K. Balances V. Can increase P.,Good for hemorrhoids. Cook thoroughly.
French Beans (बीन्स),Vegetables,31,1.8,7,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Drying nature can aggravate Vata.
Cluster Beans (ग्वार फली),Vegetables,15,3.2,10.8,0.4,Astringent (कषाय),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, P. Increases V.",Can be slightly bitter. Good for balancing sugars.
Boda Mushroom (बोड़ा),Vegetables,28,3,3,0.3,"Sweet, Earthy (मधुर)",Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.",A prized seasonal mushroom from Sal forests of Chhattisgarh. Very nourishing.
Spinach (पालक),Leafy Greens,23,2.9,3.6,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Can increase V.",Cleansing and rich in iron.
Fenugreek Leaves (मेथी),Leafy Greens,49,4.4,6,0.9,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Can increase P.",Good for digestion and blood sugar.
Mustard Greens (सरसों),Leafy Greens,27,2.7,4.7,0.4,Pungent (कटु),Heating (उष्ण),"Sharp, Light, Dry (तीक्ष्ण, लघु, रूक्ष)",Pungent (कटु),"Balances K, V. Increases P.",Very heating. Best eaten in winter.
Amaranth Greens (चौलाई),Leafy Greens,23,2.5,4,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Highly nutritious, good source of iron and calcium."
Dill Leaves (सोआ भाजी),Leafy Greens,43,3.5,7,1.1,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Excellent for V, K. Can increase P.","Promotes lactation, relieves gas."
Bathua (बथुआ),Leafy Greens,43,4.2,7,0.7,"Salty, Sweet (लवण, मधुर)",Heating (उष्ण),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Blood purifier, laxative. Common in winter."
Drumstick Leaves (सहजन पत्ते),Leafy Greens,64,9.4,8.3,1.4,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Light, Dry, Sharp (लघु, रूक्ष, तीक्ष्ण)",Pungent (कटु),"Excellent for K, V. Increases P.","Extremely nutritious, considered a superfood."
Chench Bhaji (चेंच भाजी),Leafy Greens,25,2.6,4.2,0.4,"Slightly Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances V, K. Can increase P.",A popular local bhaji in Chhattisgarh. Good source of Vitamin C.
Karmatta Bhaji (करमत्ता भाजी),Leafy Greens,30,3,5,0.5,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Excellent for P, K. Can increase V.",Water spinach. Very common in Chhattisgarh. Cleansing and cooling.
Pointed Gourd (परवल),Vegetable,20,2,3.5,0.4,"Astringent, Bitter (कषाय, तिक्त)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Can increase V.","Good for digestion, mild laxative."
Ridge Gourd (तुरई),Vegetable,20,0.5,4.3,0.2,"Sweet, Bitter (मधुर, तिक्त)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Very light and easy to digest.
Bottle Gourd (लौकी),Vegetable,14,0.6,3.4,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Slightly increases V.",Excellent for heart and digestion.
Bitter Gourd (करेला),Vegetable,34,3.6,7,0.2,Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can aggravate V.","Blood purifier, reduces sugar."
Beetroot (चुकंदर),Root Vegetable,43,1.6,10,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Good for V, K. Can increase P.","Improves blood, stamina booster."
Carrot (गाजर),Root Vegetable,41,0.9,10,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Rich in Vitamin A, good for eyes."
Radish (मूली),Root Vegetable,16,0.7,3.4,0.1,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K. Can aggravate V, P.","Strong digestive stimulant, best in winter."
Okra (भिंडी),Vegetable,33,1.9,7,0.2,Sweet (मधुर),Cooling (शीत),"Unctuous, Light (स्निग्ध, लघु)",Sweet (मधुर),"Balances P, V. Can increase K.","Good for digestion, improves strength."
Cabbage (पत्तागोभी),Vegetable,25,1.3,6,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Increases V.","Detoxifying, rich in Vitamin C."
Cauliflower (फूलगोभी),Vegetable,25,1.9,5,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.","Gas forming, should be cooked well."
Pumpkin (कद्दू),Vegetable,26,1,6.5,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Soothing and nourishing, good for liver."
Green Peas (हरी मटर),Pulse/Vegetable,81,5,14,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.","Rich in protein, can cause gas."
Chickpeas (काबुली चना),Pulse,164,9,27,2.6,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.","Good protein source, hard to digest."
Moong Dal (मूंग दाल),Pulse,105,7,19,1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Best lentil for digestion, easy to digest."
Black Gram (उड़द दाल),Pulse,341,25,59,1.6,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Strengthening, aphrodisiac, heavy to digest."
Rice (चावल),Cereal,130,2.4,28,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.","Easily digestible, nourishing."
Wheat (गेहूँ),Cereal,340,13,72,2.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Nourishing, promotes strength."
Pear (नाशपाती),Fruit,57,0.4,15,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Soothing, hydrating fruit."
Apple (सेब),Fruit,52,0.3,14,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Good for heart, digestion."
Banana (केला),Fruit,89,1.1,23,0.3,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Nourishing, builds strength but heavy."
Pomegranate (अनार),Fruit,83,1.7,19,1.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Excellent for heart and digestion.
Ginger (अदरक),Spice,80,1.8,18,0.7,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Sweet (मधुर),"Balances V, K. Increases P.","Improves digestion, relieves nausea."
Turmeric (हल्दी),Spice,312,9.7,67,3.3,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, V. Increases P.",Powerful anti-inflammatory.
Cumin Seeds (जीरा),Spice,375,18,44,22,Pungent (कटु),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances V, K. Increases P.","Enhances digestion, reduces bloating."
Coriander Seeds (धनिया),Spice,298,12,55,17,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Cooling, good for urinary system."
Turnip (शलजम),Root Vegetable,28,0.9,6.4,0.1,"Sweet, Pungent (मधुर, कटु)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Improves digestion, good for liver."
Sweet Potato (शकरकंद),Root Vegetable,86,1.6,20,0.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Nourishing, energy-rich."
Yam (जिमीकंद),Root Vegetable,118,1.5,27,0.2,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances V, K. Increases P.",Strengthening but heavy to digest.
Taro Root (अरबी),Root Vegetable,142,2.1,34,0.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Best eaten with spices, otherwise gas-forming."
Lotus Root (कमल ककड़ी),Root Vegetable,74,2.6,17,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Improves blood circulation.
Cucumber (खीरा),Vegetable,15,0.6,3.6,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P. Can increase V, K.","Very hydrating, good for skin."
Snake Gourd (चिचिंडा),Vegetable,18,1.2,4,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Used for liver disorders, cooling."
Ash Gourd (पेठा),Vegetable,13,0.4,3,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, K. Slightly increases V.","Very cooling, used in Ayurvedic medicine."
Ivy Gourd (कुंदरू),Vegetable,18,1,4,0.2,"Astringent, Bitter (कषाय, तिक्त)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Can increase V.",Good for diabetes management.
Sponge Gourd (घीया तोरी),Vegetable,20,0.6,4.3,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Light, good for digestion."
Brinjal (बैंगन),Vegetable,25,1,6,0.2,"Bitter, Astringent (तिक्त, कषाय)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases V, P.","Good for heart, but not for skin disorders."
Capsicum (Shimla Mirch) (शिमला मिर्च),Vegetable,31,1,6,0.3,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K. Increases P, V.",Rich in Vitamin C.
